,nonveg_pred_proba,green_pred_proba,tree_pred_proba,probability,classification,category,nasa_nonveg_area,nasa_nonveg_pc,nasa_ext_area,nasa_ext_pc,nasa_int_area,nasa_int_pc,nasa_tree_area,nasa_tree_pc,total_area,naive_label,k2_01,k2_01.1,k4_01,k4_02,k4_03,k4_04,std,var,mean,min,pct_05,pct_10,pct_15,pct_20,pct_25,pct_30,pct_35,pct_40,pct_45,pct_50,pct_55,pct_60,pct_65,pct_70,pct_75,pct_80,pct_85,pct_90,pct_95,pc_2_01,pc_2_02,pc_4_01,pc_4_02,pc_4_03,pc_4_04,area_2_01,area_2_02,area_4_01,area_4_02,area_4_03,area_4_04,max,label
0599100010032452,0.14626384362403216,0.006753972358533999,0.8469821840174339,0.8469821840174339,4,Trees,0.0,0.0,3.805138461123077,0.15384615384615385,7.229763076133847,0.2923076923076923,13.698498460043078,0.5538461538461539,24.7333999973,4.0,0.2232386162800577,0.2232386162800577,0.19371030958511146,0.2647423908477036,0.3735354424921048,0.4385656071945773,0.10683593606415777,0.011413917234704805,0.3196249974350948,0.12562814070351758,0.17415150692370351,0.19111111111111112,0.20990806945863125,0.2169510181618052,0.2222222222222222,0.2394831800721685,0.243910155014236,0.2698588791907986,0.27907246376811595,0.3142857142857143,0.35362889983579643,0.37417876241405656,0.37826610475617095,0.3909593419644297,0.3979238754325259,0.4244087938205585,0.4421284817810304,0.4493116395494368,0.4925067961616208,0.4923076923076923,0.2923076923076923,0.2769230769230769,0.2307692307692308,0.24615384615384614,0.18461538461538465,12.176443075593848,7.229763076133847,6.849249230021539,5.707707691684617,6.088221537796923,4.566166153347693,0.5433070866141733,
0599100010035796,0.4787464555059404,0.29541824458368693,0.22583529991037266,0.4787464555059404,1,Non-Vegetation,0.0,0.0,33.49201500004655,0.4655172413793103,35.97290500005,0.5,2.480890000003448,0.03448275862068965,71.9458100001,3.0,0.17797679073718398,0.17797679073718398,0.1700368556285686,0.19627094198187292,0.2194406794470821,0.24694940659484435,0.035387971092984825,0.0012523084980779295,0.21492692126395951,0.14666666666666667,0.1634731746672045,0.17142857142857146,0.17647058823529413,0.18056488248074265,0.1875,0.1935483870967742,0.19766233766233765,0.2,0.20674442190669373,0.21428571428571427,0.21568627450980396,0.2222222222222222,0.22448979591836732,0.23404255319148934,0.2413793103448276,0.25,0.25,0.2624713958810069,0.2727272727272727,0.3505747126436782,0.3563218390804598,0.2183908045977012,0.2471264367816092,0.2183908045977012,0.2183908045977012,25.222381666701725,25.635863333368963,15.712303333355171,17.77971166669138,15.712303333355171,15.712303333355171,0.3191489361702128,
0599100010036589,0.8949584704338013,0.1039843092362762,0.001057220329922631,0.8949584704338013,1,Non-Vegetation,31.26555000077143,0.6428571428571429,16.501262500407144,0.3392857142857143,0.8684875000214285,0.017857142857142856,0.0,0.0,48.6353000012,1.0,0.024266738006601615,0.024266738006601615,0.015018165588267946,0.04740541252457065,0.08673381071561025,0.12999025228255962,0.06505652395674925,0.004232351309335089,0.07782499528525598,-0.003861003861003861,0.006563494005382923,0.00948066504763684,0.015276381909547741,0.01834862385321101,0.02139219015280136,0.02493368700265252,0.033977272727272724,0.04076268048870789,0.04836774193548387,0.058024931286265576,0.07157615112160567,0.08089814864791924,0.08951626016260163,0.10325491459877537,0.12580128205128205,0.14523809523809528,0.16724422442244224,0.18163636363636365,0.1928004535147392,0.5,0.2857142857142857,0.3392857142857143,0.19642857142857145,0.17857142857142858,0.09821428571428573,24.3176500006,13.895800000342856,16.501262500407144,9.553362500235712,8.684875000214285,4.776681250117856,0.25,
0599100010044709,0.6986471111059466,0.0469789641060109,0.25437392478804255,0.6986471111059466,1,Non-Vegetation,5.559324259911765,0.29411764705882354,11.859891754478431,0.6274509803921569,1.1118648519823529,0.05882352941176471,0.37062161732745097,0.0196078431372549,18.9017024837,2.0,0.07739266388534496,0.07739266388534496,0.04753494310984487,0.09951873937300501,0.1642252087445568,0.2091144444724125,0.05837902028882734,0.0034081100098833144,0.1285692456646012,0.027624309392265192,0.04261306532663317,0.057777777777777775,0.07386454183266933,0.08487084870848709,0.08641975308641975,0.08812260536398467,0.0964562569213732,0.10037174721189593,0.10361424226158523,0.1206896551724138,0.12462623287365555,0.15254237288135594,0.15654091131798134,0.16071428571428573,0.17048929663608564,0.17777777777777778,0.1883606557377049,0.2079207920792079,0.22085561497326206,0.4705882352941176,0.3725490196078432,0.1568627450980392,0.4117647058823529,0.27450980392156865,0.1176470588235294,8.894918815858821,7.041810729221567,2.964972938619608,7.783053963876469,5.188702642584314,2.2237297039647057,0.2830188679245283,
0599100010045082,0.6730963488186924,0.044299493671673545,0.28260415750963397,0.6730963488186924,1,Non-Vegetation,3.453524288017143,0.9285714285714286,0.26565571446285713,0.07142857142857142,0.0,0.0,0.0,0.0,3.7191800024800004,1.0,0.00972608568841099,0.00972608568841099,-6.231432279130839e-05,0.017067385696812706,0.049356969064998264,0.07400006825472663,0.035690180211336506,0.0012737889635176759,0.0414155776831089,-0.002257336343115124,-0.0007900677200902934,0.0006211180124223604,0.0019668737060041406,0.006848224239528588,0.011493337580294102,0.015289058767319638,0.015873015873015872,0.01799642594344581,0.024897508672343114,0.03705455692210659,0.048140424052832816,0.05039972193256865,0.059326679576940274,0.06959183673469388,0.07091836734693878,0.07362637362637363,0.07698996655518395,0.07785953177257526,0.09182701202590192,0.5,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.8595900012400002,1.5939342867771429,0.7969671433885713,1.0626228578514283,0.5313114289257143,1.0626228578514283,0.11702127659574467,
0599100010050573,0.4239942563643668,0.13139574801385745,0.4446099956217758,0.4446099956217758,4,Trees,0.0,0.0,5.412261422297144,0.8571428571428571,0.9020435703828572,0.14285714285714285,0.0,0.0,6.31430499268,2.0,0.16433427413724866,0.16433427413724866,0.15226554267650158,0.16835718462416432,0.19079757930393526,0.2045423812158092,0.024427027312970747,0.0005966796633486189,0.1899158384474202,0.1506849315068493,0.15384615384615385,0.16216216216216214,0.16417910447761194,0.16853932584269662,0.16923076923076924,0.17142857142857146,0.1746031746031746,0.1864406779661017,0.1875,0.19444444444444445,0.1948051948051948,0.2,0.2,0.2,0.2058823529411765,0.20689655172413796,0.20689655172413796,0.21212121212121213,0.22857142857142854,0.3809523809523809,0.5238095238095238,0.09523809523809523,0.2857142857142857,0.19047619047619047,0.3333333333333333,2.405449521020953,3.30749309140381,0.6013623802552381,1.8040871407657144,1.2027247605104765,2.104768330893333,0.25,
0599100010058555,0.9548937482994526,0.044746196782704764,0.00036005491784262266,0.9548937482994526,1,Non-Vegetation,45.132645198249996,0.6558441558441559,22.78975153575,0.3311688311688312,0.8937157465000001,0.012987012987012988,0.0,0.0,68.8161124805,1.0,0.012704271920402896,0.012704271920402896,0.012704271920402896,0.0785213704651753,0.1109320205696814,0.15376051430294618,0.04121847271979615,0.0016989624933525798,0.09081381290293716,-0.002493765586034913,0.015635586978936515,0.06061680255228642,0.06666666666666668,0.07218639484085708,0.07523519854913666,0.07684498242873877,0.07801906445300169,0.07981220657276994,0.08030357142857142,0.08181818181818183,0.08374384236453201,0.08612096013060225,0.08737864077669902,0.090009009009009,0.09964788732394368,0.11238614453826208,0.13399988670480936,0.15373008130081306,0.16749231444883614,0.07792207792207792,0.7467532467532467,0.07792207792207792,0.6558441558441559,0.1038961038961039,0.12987012987012986,5.362294478999999,51.38865542375,5.362294478999999,45.132645198249996,7.149725972000001,8.937157464999997,0.24489795918367346,
0599100010060653,0.7349978575520019,0.14875010379102438,0.11625203865697371,0.7349978575520019,1,Non-Vegetation,0.3910612627932203,0.01694915254237288,21.1173081908339,0.9152542372881356,1.5642450511728814,0.06779661016949153,0.0,0.0,23.0726145048,2.0,0.11612925602209705,0.11612925602209705,0.09135966371842127,0.12341443022906053,0.15774612264193302,0.18408118995560435,0.03477653395009739,0.001209407313582276,0.15185548243494346,0.06779661016949153,0.09630654913673782,0.11482424859908305,0.11793854033290653,0.12,0.12393857271906053,0.1295353845731766,0.13498498498498498,0.14497607655502395,0.15051344314092624,0.15471698113207547,0.15823551684967813,0.15927054922723138,0.16163060400978618,0.16639676113360324,0.1689291101055807,0.17456932690026097,0.18707643814026792,0.19731775903093232,0.21305798915310808,0.3728813559322034,0.4576271186440678,0.0847457627118644,0.288135593220339,0.3898305084745763,0.13559322033898305,8.603347781450847,10.55865409541695,1.9553063139661016,6.648041467484746,8.994409044244069,3.1284901023457627,0.2419354838709677,
0599100010065707,0.18366216926956702,0.00639912455341323,0.8099387061770198,0.8099387061770198,4,Trees,0.5988802103273684,0.10526315789473684,0.5988802103273684,0.10526315789473684,0.2994401051636842,0.05263157894736842,4.192161472291579,0.7368421052631579,5.68936199811,4.0,0.06562055121994248,0.06562055121994248,0.01963776640278086,0.14827609789860993,0.3246667156872575,0.42887002550824577,0.15524156569107878,0.02409994371821753,0.3250870449185188,0.01580135440180587,0.022706896003560868,0.08680627263089781,0.11518895197687234,0.18119992332758286,0.2586981347544728,0.3030461840812316,0.31976744186046513,0.3333333333333333,0.3346938775510204,0.3469387755102041,0.3842806544105245,0.4081207330219188,0.4174614305750351,0.41935483870967744,0.4327543424317618,0.4476923076923077,0.4547260273972603,0.4744895321788575,0.5142597968069665,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.2631578947368421,0.3684210526315789,1.1977604206547368,1.7966406309821048,0.5988802103273684,0.8983203154910525,1.497200525818421,2.0960807361457894,0.5576923076923077,
0599100010068085,0.19376061925583307,0.011058907294777922,0.7951804734493889,0.7951804734493889,4,Trees,0.0,0.0,4.057416290225807,0.16129032258064516,10.955023983609678,0.4354838709677419,10.143540725564515,0.4032258064516129,25.1559809994,3.0,0.23456054647905605,0.23456054647905605,0.21480887498828588,0.2674474232300244,0.3423844193167026,0.4345857112139759,0.08388456828416564,0.0070366207962208474,0.28961139006986536,0.2,0.2,0.20930232558139536,0.2105379188712522,0.21490683229813665,0.22088414634146344,0.23721804511278194,0.2432432432432433,0.25,0.2614210526315789,0.2657238924050633,0.2702702702702703,0.2766666666666667,0.2857142857142857,0.3073863636363636,0.3380181462373243,0.3559401241328953,0.39642547451584936,0.4240284619594964,0.4571986277061398,0.5967741935483871,0.2419354838709677,0.3387096774193548,0.3548387096774194,0.14516129032258066,0.14516129032258066,15.012440273835486,6.086124435338711,8.520574209474193,8.926315838496775,3.651674661203226,3.651674661203226,0.5683453237410072,
